candidate_probability,market_score,session,market_regime,volatility_bucket,direction,memory_confidence,memory_pf,memory_matches,is_win
0.59755915,82.9746261893971,0,1,0,0,0.0,0.0,0.0,0
0.5438039,82.51673217890095,0,3,0,0,0.0,0.0,0.0,0
0.5461614,83.48560501434156,0,3,0,0,0.0,0.0,0.0,0
0.5461614,83.8425581642409,0,3,0,0,0.0,0.0,0.0,0
0.624051,84.79961526130145,0,3,0,0,0.0,0.0,0.0,0
0.6145046,87.76230378850444,0,3,0,0,0.0,0.0,0.0,1
0.6145046,87.7832339529987,0,3,0,0,0.0,0.0,0.0,1
0.5321321,81.85339901477813,2,3,0,0,0.0,0.0,0.0,1
0.56191,81.09240522272128,2,3,0,0,0.0,0.0,0.0,0
0.56191,80.60371971955166,2,3,0,0,0.0,0.0,0.0,0
0.70088977,80.87566428879215,2,1,0,0,0.0,0.0,0.0,1
0.5260523,81.18562270402629,0,0,0,0,0.0,0.0,0.0,0
0.53608453,88.85976720247045,0,3,0,0,0.0,0.0,0.0,0
0.5941269,86.78599700941194,1,0,0,0,0.0,0.0,0.0,1
0.5893783,88.62380492939184,1,0,0,0,0.0,0.0,0.0,1
0.61288893,84.39730988101411,2,0,0,0,0.0,0.0,0.0,0
0.59996724,85.23580615824343,1,2,0,0,0.0,0.0,0.0,1
0.51976395,86.36886333480706,0,0,0,0,0.0,0.0,0.0,0
0.5481931,89.26938928437619,1,3,0,0,0.0,0.0,0.0,1
0.57307,83.36398334489937,1,3,0,0,0.0,0.0,0.0,1
0.5323979,88.72579268692937,2,1,0,0,0.0,0.0,0.0,0
0.677818,89.74852652259301,2,1,0,0,0.0,0.0,0.0,0
0.6694915,89.14175257731922,2,1,0,0,0.0,0.0,0.0,0
0.72136045,89.50747130122518,2,1,0,0,0.0,0.0,0.0,0
0.5305058,87.1991592222805,0,0,0,0,0.0,0.0,0.0,1
0.53727186,91.2292551138551,0,3,0,0,0.0,0.0,0.0,0
0.53727186,94.48282516402948,0,3,0,0,0.0,0.0,0.0,0
0.5396346,97.2153608645311,0,3,0,0,0.0,0.0,0.0,0
0.5979795,88.2342986084995,1,3,0,0,0.0,0.0,0.0,1
0.5928445,88.1612989561956,1,3,0,0,0.0,0.0,0.0,1
0.5722605,86.09858416360761,1,3,0,0,0.0,0.0,0.0,1
0.5372729,88.36704954568833,1,3,0,0,0.0,0.0,0.0,0
0.54583734,88.81258023106533,1,3,0,0,0.0,0.0,0.0,0
0.5481931,88.95162922485322,1,3,0,0,0.0,0.0,0.0,1
0.5184245,88.15123859191638,1,0,0,0,0.0,0.0,0.0,1
0.5481931,89.25064377682418,1,0,0,0,0.0,0.0,0.0,1
0.68218774,87.46004760285595,0,3,0,0,0.0,0.0,0.0,1
0.6333809,82.82847670563538,1,0,0,0,0.0,0.0,0.0,1
0.61370844,87.68495575221164,1,0,0,0,0.0,0.0,0.0,0
0.5310819,80.69039527812592,0,0,0,0,0.0,0.0,0.0,0
